Year,Month,Fleet,Index,CV,Label
2003,7,2,2203,0.2,Survey
2004,7,2,4308,0.2,Survey
2005,7,2,3532,0.2,Survey
2006,7,2,5979,0.2,Survey
2007,7,2,1634,0.2,Survey
2008,7,2,1933,0.2,Survey
2009,7,2,2312,0.2,Survey
2010,7,2,2894,0.2,Survey
2011,7,2,1044,0.2,Survey
2012,7,2,1394,0.2,Survey
2013,7,2,1408,0.2,Survey
2014,7,2,782,0.2,Survey
2015,7,2,965,0.2,Survey
2016,7,2,1277,0.2,Survey
2017,7,2,966,0.2,Survey
2018,7,2,696,0.2,Survey
2019,7,2,587,0.2,Survey
2020,7,2,690,0.2,Survey
2021,7,2,1932,0.2,Survey
2022,7,2,872,0.2,Survey
2023,7,2,716,0.2,Survey
